"cohort_date","source","medium","campaign","income","discounts","costs_rub","ltv"
"2019-09-01","google","cpc","ukr_search_competitors-new",930.14789,0.0,88.21,841.93789
"2019-09-01","yandex","cpc","ukr_search_gen-discount-10",2421.18898,242.118898,934.87006,1244.200022
"2019-09-01","yandex","cpc","rus_search_gen-vlozhenye-zaprosy-phones-discount-10-night",15221.770172,1126.6055157,8234.19,5860.9746563
"2019-09-01","yandex","cpc","bel_search_gen-phones",2094.00128,209.400128,352.75003,1531.851122
"2019-09-01","yandex","cpc","ukr_search_brand-discount-10",3122.30548,139.755889,148.58,2833.969591
"2019-09-01","google","cpc","rus_search_gen-vlozhenye-zaprosy-discount-10",2094.00128,209.400128,1136.09,748.511152
"2019-09-01","google","cpc","rus_search_gen-flow-discount-10-night",5169.56566,325.785467,3916.72,927.060193
"2019-09-01","yandex","cpc","rus_search_gen-phones-no-conversions-discount-10-night",1860.29578,186.029578,372.13,1302.136202
"2019-09-01","yandex","cpc","rus_search_brand-discount-10",11082.31481,819.838894,1729.7498,8532.726116
"2019-09-01","google","cpc","rus_search_gen-vlozhenye-zaprosy-discount-10-night",2608.15338,167.800549,1070.44,1369.912831
"2019-09-01","yandex","cpc","rus_search_gen-vlozhenye-zaprosy-phones-discount-10",2556.73817,255.673817,1615.25,685.814353
"2019-09-01","yandex","cpc","rus_search_gen-phones-discount-10",30325.887564,3220.0205674,18960.926,8144.9409966
"2019-09-01","google","cpc","rus_search_competitors-new",1163.85339,0.0,1103.69,60.16339
"2019-09-01","yandex","cpc","ukr_search_gen-discount-10-night",14658.00896,1186.756529,8396.95,5074.302431
"2019-09-02","yandex","cpc","rus_search_gen-vlozhenye-zaprosy-phones-discount-10",5820.90537,232.8362148,5500.2896,87.7795552
"2019-09-02","yandex","cpc","rus_search_gen-phones-no-conversions-discount-10-night",2328.362148,116.4181074,205.46,2006.4840406
"2019-09-02","yandex","cpc","ukr_search_gen-discount-10-night",8317.582854,771.44529,6371.0396,1175.097964
"2019-09-02","yandex","cpc","bel_search_gen-phones",930.409774,93.0409774,294.44,542.9287966
"2019-09-02","google","cpc","rus_search_gen-flow-discount-10-night",16782.363843,1589.1772974,4087.02,11106.1665456
"2019-09-02","yandex","cpc","rus_search_gen-vlozhenye-zaprosy-phones-discount-10-night",3025.000622,209.4590848,4917.6597,-2102.1181628
"2019-09-02","google","cpc","rus_search_gen-vlozhenye-zaprosy-discount-10-night",9364.878278,936.4878278,4599.12,3829.2704502
"2019-09-02","yandex","cpc","rus_search_gen-phones-discount-10",16345.289296,1211.8704192,25751.012,-10617.5931232
"2019-09-02","yandex","cpc","rus_search_gen-phones-discount-10-night",3773.068782,284.2659008,3143.0002,345.8026812
"2019-09-02","yandex","cpc","rus_search_brand-discount-10",14119.78652,1286.6772352,5093.2495,7739.8597848
"2019-09-03","yandex","cpc","rus_search_brand-discount-10",9781.571121,536.53131,4401.781,4843.258811
"2019-09-03","google","cpc","rus_search_gen-vlozhenye-zaprosy-discount-10-night",1860.4908,93.02454,4153.4,-2385.93374
"2019-09-03","yandex","cpc","rus_search_competitors-new-phones",5871.2976,423.98622,2082.09,3365.22138
